iter	Passed	Remaining
0	168	168278
1	170	84880
2	171	57068
3	174	43351
4	175	34996
5	177	29348
6	178	25337
7	180	22395
8	181	20001
9	182	18078
10	184	16579
11	186	15324
12	187	14227
13	188	13272
14	190	12536
15	192	11817
16	193	11187
17	199	10875
18	200	10363
19	201	9897
20	203	9465
21	204	9100
22	205	8744
23	206	8413
24	211	8257
25	212	7977
26	214	7712
27	215	7465
28	216	7240
29	217	7027
30	218	6830
31	219	6653
32	221	6503
33	223	6348
34	225	6214
35	226	6067
36	227	5928
37	228	5792
38	230	5683
39	231	5563
40	233	5465
41	234	5356
42	236	5252
43	237	5149
44	237	5050
45	239	4976
46	241	4890
47	242	4805
48	246	4779
49	248	4716
50	249	4640
51	250	4565
52	251	4492
53	252	4420
54	253	4355
55	255	4301
56	257	4253
57	258	4195
58	259	4137
59	260	4079
60	262	4045
61	263	3992
62	264	3940
63	266	3898
64	268	3860
65	269	3812
66	270	3767
67	271	3716
68	273	3684
69	274	3642
70	275	3601
71	276	3559
72	280	3559
73	281	3522
74	282	3484
75	283	3448
76	284	3410
77	286	3384
78	287	3350
79	288	3317
80	295	3347
81	296	3319
82	297	3288
83	298	3255
84	299	3219
85	300	3189
86	300	3155
87	301	3126
88	302	3099
89	303	3073
90	305	3047
91	306	3020
92	306	2994
93	307	2967
94	308	2941
95	309	2916
96	310	2892
97	311	2868
98	312	2843
99	313	2820
100	315	2811
101	316	2788
102	318	2771
103	319	2751
104	320	2732
105	321	2712
106	322	2692
107	323	2673
108	324	2655
109	325	2637
110	328	2631
111	330	2616
112	331	2601
113	332	2587
114	334	2570
115	334	2552
116	336	2537
117	337	2523
118	338	2508
119	339	2493
120	341	2478
121	342	2464
122	342	2445
123	343	2430
124	347	2430
125	349	2425
126	351	2417
127	352	2400
128	353	2386
129	354	2372
130	356	2365
131	358	2354
132	359	2341
133	360	2330
134	361	2316
135	362	2303
136	363	2290
137	364	2275
138	365	2263
139	366	2250
140	367	2236
141	367	2223
142	369	2211
143	370	2205
144	372	2198
145	373	2186
146	374	2174
147	375	2163
148	376	2151
149	377	2140
150	378	2129
151	379	2118
152	383	2123
153	385	2117
154	386	2105
155	387	2094
156	387	2083
157	388	2071
158	389	2061
159	391	2053
160	393	2048
161	394	2041
162	395	2032
163	396	2022
164	397	2012
165	398	2001
166	399	1991
167	400	1981
168	401	1972
169	402	1966
170	403	1957
171	404	1948
172	405	1938
173	406	1928
174	408	1923
175	410	1921
176	412	1916
177	413	1908
178	415	1903
179	416	1895
180	416	1884
181	417	1876
182	419	1870
183	420	1862
184	420	1854
185	421	1846
186	422	1837
187	423	1829
188	424	1821
189	425	1814
190	426	1807
191	427	1799
192	428	1791
193	429	1783
194	430	1775
195	430	1767
196	433	1767
197	434	1759
198	435	1752
199	436	1745
200	437	1740
201	438	1733
202	439	1726
203	440	1718
204	441	1711
205	443	1707
206	444	1701
207	445	1694
208	445	1687
209	446	1680
210	447	1673
211	448	1666
212	449	1659
213	450	1653
214	450	1646
215	451	1639
216	452	1632
217	453	1628
218	454	1621
219	455	1616
220	457	1611
221	458	1606
222	459	1602
223	460	1596
224	461	1590
225	462	1584
226	463	1577
227	464	1571
228	464	1565
229	466	1561
230	467	1555
231	468	1549
232	468	1543
233	469	1537
234	470	1532
235	471	1526
236	472	1520
237	473	1515
238	474	1509
239	475	1504
240	475	1498
241	476	1493
242	478	1489
243	479	1485
244	480	1480
245	481	1475
246	482	1469
247	482	1464
248	483	1459
249	484	1454
250	485	1449
251	486	1443
252	487	1438
253	488	1433
254	489	1429
255	491	1429
256	493	1425
257	493	1420
258	494	1415
259	495	1411
260	496	1406
261	497	1402
262	498	1397
263	499	1392
264	500	1387
265	501	1384
266	502	1379
267	504	1378
268	505	1374
269	506	1369
270	507	1365
271	508	1361
272	509	1357
273	510	1353
274	511	1348
275	512	1344
276	513	1339
277	514	1336
278	515	1332
279	516	1328
280	518	1325
281	519	1321
282	520	1317
283	520	1313
284	521	1309
285	522	1304
286	523	1301
287	524	1297
288	525	1292
289	526	1288
290	527	1284
291	528	1280
292	530	1281
293	531	1277
294	532	1273
295	533	1269
296	534	1265
297	535	1262
298	536	1258
299	537	1254
300	538	1250
301	539	1247
302	541	1244
303	543	1244
304	544	1241
305	545	1237
306	546	1234
307	547	1230
308	548	1226
309	549	1222
310	550	1219
311	551	1216
312	552	1213
313	553	1210
314	554	1206
315	556	1203
316	557	1200
317	557	1196
318	558	1193
319	559	1189
320	560	1185
